Line #,Key,en Version,ka Translation
722,ka.root.index.no_time_series,"At this time, no time series have been created in the site.",ამ მომენტისთვის ვებ-გვერდზე არ შექმნილა პერიოდული შედარება.
723,ka.root.index.wms_title,Welfare <br />Monitoring Survey,კეთილდღეობის <br />მონიტორინგის კვლევა
724,ka.root.index.wms_slogan,"Comparing the <br />well-being of children <br />from 2009, 20011 and 2013","ბავშვთა შინამეურნეობების კეთილდღეობის <br />შედარება <br />2009, 2011 და <br/>2013 წლებში"
725,ka.root.index.header_highlights,Highlights,მნიშვნელოვანი
726,ka.root.index.search_datasets,Search Datasets,მონაცემთა ძიება
727,ka.root.contact.title,Contact,კონტაქტი
728,ka.root.contact.send,Send,გაგზავნა
729,ka.root.contact.error_title,An error has occurred,პრობლემა წარმოიშვა
730,ka.root.instructions.title,Instructions,ინსტრუქცია
731,ka.root.notes.title,Notes,შენიშვნები
732,ka.root.explore_data.title,Explore the Data,მონაცემთა გაცნობა
733,ka.root.explore_data.search_datasets,Search Datasets,მონაცემთა ცხრილის ძებნა
734,ka.root.explore_data.sort_by.this,Sort By,დახარისხება
735,ka.root.explore_data.sort_by.title,Title,დასახელება
736,ka.root.explore_data.sort_by.release,Date Released,გამოქვეყნების თარიღი
737,ka.root.explore_data.sort_by.publish,Date Published Here,აქ გამოქვეყნების თარიღი
738,ka.root.explore_data.no_data,"At this time, no datasets have been loaded into the site.",ამ მომენტისთვის ვებ-გვერდზე არ ჩატვირთულა მონაცემთა ცხრილი
739,ka.root.explore_data.no_match,"Sorry, no datasets match your search request.","უკაცრავად, თქვენი არცერთი მოთხოვნა არ ემთხვევა პერიოდული შედარებას"
740,ka.root.explore_data_datasets.no_match,"Sorry, no datasets match your search request.","უკაცრავად, თქვენი არცერთი მოთხოვნა არ ემთხვევა პერიოდული შედარებას"
741,ka.root.explore_data_show.title,Explore the Data,პერიოდული შედარების მონაცემების გაცნობა
742,ka.root.explore_time_series.title,Explore Time Series Data,პერიოდული შედარების მონაცემების გაცნობა
743,ka.root.explore_time_series.search_time_series,Search Time Series,პერიოდული შედარების ძებნა
744,ka.root.explore_time_series.sort_by.this,Sort By,დახარისხება
745,ka.root.explore_time_series.sort_by.title,Title,დასახელება
746,ka.root.explore_time_series.sort_by.publish,Date Published Here,აქ გამოქვეყნების თარიღი
